./title,genre,release_date,actors,resume
O Poderoso Chefão,Crime,1972-03-24,"Marlon Brando, Al Pacino, James Caan","A história da família Corleone, uma das mais poderosas famílias do crime organizado."
Matrix,Ficção Científica,1999-03-31,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss","Um programador descobre que a realidade é uma simulação."
Cidade de Deus,Crime,2002-08-30,"Alexandre Rodrigues, Leandro Firmino, Phellipe Haagensen","A história de dois jovens que crescem na favela da Cidade de Deus no Rio de Janeiro."
Tropa de Elite,Ação,2007-10-05,"Wagner Moura, Caio Junqueira, André Ramiro","A rotina de um capitão da BOPE durante a preparação para a Copa do Mundo."
O Auto da Compadecida,Comédia,2000-09-15,"Selton Mello, Matheus Nachtergaele, Denise Fraga","As aventuras de João Grilo e Chicó no sertão nordestino."
Central do Brasil,Drama,1998-04-03,"Fernanda Montenegro, Vinícius de Oliveira, Marília Pêra","Uma professora aposentada ajuda um menino a encontrar o pai."
Carandiru,Drama,2003-04-11,"Rodrigo Santoro, Wagner Moura, Caio Blat","A história real do massacre do Carandiru em 1992."
Bacurau,Crime,2019-08-29,"Sônia Braga, Udo Kier, Bárbara Colen","Os moradores de um pequeno vilarejo no sertão brasileiro enfrentam uma ameaça."
Pulp Fiction,Crime,1994-10-14,"John Travolta, Samuel L. Jackson, Uma Thurman","A vida de dois assassinos, um boxeador e outros personagens se entrelaça em Los Angeles."
O Senhor dos Anéis: A Sociedade do Anel,Aventura,2001-12-19,"Elijah Wood, Ian McKellen, Viggo Mortensen","Um hobbit embarca em uma jornada épica para destruir um anel poderoso."
Gladiador,Ação,2000-05-05,"Russell Crowe, Joaquin Phoenix, Connie Nielsen","Um general romano busca vingança contra o imperador que matou sua família."
Interestelar,Ficção Científica,2014-11-06,"Matthew McConaughey, Anne Hathaway, Jessica Chastain","Uma equipe de exploradores viaja através de um buraco de minhoca no espaço."
O Resgate do Soldado Ryan,Guerra,1998-07-24,"Tom Hanks, Matt Damon, Tom Sizemore","Um grupo de soldados é enviado atrás das linhas inimigas para resgatar um soldado."
A Origem,Ficção Científica,2010-07-16,"Leonardo DiCaprio, Marion Cotillard, Tom Hardy","Um ladrão especializado em extrair segredos do subconsciente enfrenta sua missão mais difícil."
O Lobo de Wall Street,Biografia,2013-12-25,"Leonardo DiCaprio, Jonah Hill, Margot Robbie","A ascensão e queda do corretor da bolsa Jordan Belfort."
Toy Story,Animação,1995-11-22,"Tom Hanks, Tim Allen, Don Rickles","Os brinquedos de um menino ganham vida quando ele não está por perto."
Procurando Nemo,Animação,2003-05-30,"Albert Brooks, Ellen DeGeneres, Alexander Gould","Um peixe-palhaço procura seu filho que foi capturado por um mergulhador."
A Lista de Schindler,Biografia,1993-12-15,"Liam Neeson, Ralph Fiennes, Ben Kingsley","A história real de Oskar Schindler, que salvou mais de mil judeus durante o Holocausto."
Forrest Gump,Drama,1994-07-06,"Tom Hanks, Robin Wright, Gary Sinise","A vida de um homem com QI baixo que vive momentos históricos importantes da América."
O Iluminado,Drama,1980-05-23,"Jack Nicholson, Shelley Duvall, Danny Lloyd","Um escritor aceita um emprego como zelador de um hotel isolado durante o inverno."
Os Infiltrados,Crime,2006-10-06,"Leonardo DiCaprio, Matt Damon, Jack Nicholson","Um policial se infiltra na máfia enquanto um mafioso se infiltra na polícia."
O Pianista,Biografia,2002-09-25,"Adrien Brody, Thomas Kretschmann, Frank Finlay","A história real de um pianista judeu que sobrevive ao Holocausto em Varsóvia."
O Rei Leão,Animação,1994-06-24,"Matthew Broderick, Jeremy Irons, James Earl Jones","Um jovem leão deve reivindicar seu lugar como rei após a morte de seu pai."
A Vida é Bela,Comédia,1997-12-20,"Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini","Um pai usa sua imaginação para proteger seu filho dos horrores de um campo de concentração."
Clube da Luta,Crime,1999-10-15,"Brad Pitt, Edward Norton, Helena Bonham Carter","Um funcionário de escritório e um vendedor de sabonete formam um clube de luta underground."
O Silêncio dos Inocentes,Crime,1991-02-14,"Jodie Foster, Anthony Hopkins, Scott Glenn","Uma agente do FBI busca a ajuda de um assassino canibal para capturar outro serial killer."
Coringa,Crime,2019-10-04,"Joaquin Phoenix, Robert De Niro, Zazie Beetz","A origem do icônico vilão Coringa em Gotham City."
Parasita,Crime,2019-05-30,"Song Kang-ho, Lee Sun-kyun, Cho Yeo-jeong","Uma família pobre se infiltra na casa de uma família rica através de empregos falsos."
Django Livre,Ação,2012-12-25,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio","Um escravo liberto busca vingança contra seu antigo dono com a ajuda de um caçador de recompensas."
O Grande Hotel Budapeste,Comédia,2014-03-28,"Ralph Fiennes, F. Murray Abraham, Mathieu Amalric","As aventuras de um concierge e seu aprendiz em um hotel europeu de luxo."
A Chegada,Ficção Científica,2016-11-11,"Amy Adams, Jeremy Renner, Forest Whitaker","Uma linguista tenta se comunicar com alienígenas que chegam à Terra."
Mad Max: Estrada da Fúria,Ação,2015-05-15,"Tom Hardy, Charlize Theron, Nicholas Hoult","Em um mundo pós-apocalíptico, Max ajuda uma guerreira a escapar de um tirano."
Whiplash,Drama,2014-10-15,"Miles Teller, J.K. Simmons, Paul Reiser","Um jovem baterista enfrenta um instrutor abusivo em uma escola de música."
Birdman,Drama,2014-11-14,"Michael Keaton, Edward Norton, Emma Stone","Um ator que interpretou um super-herói tenta reviver sua carreira em uma peça da Broadway."
Moonlight,Drama,2016-10-21,"Mahershala Ali, Naomie Harris, Trevante Rhodes","A jornada de um jovem afro-americano enquanto lida com sua identidade e sexualidade."
La La Land,Comédia,2016-12-25,"Ryan Gosling, Emma Stone, John Legend","Um músico de jazz e uma aspirante a atriz se apaixonam enquanto perseguem seus sonhos em Los Angeles."
O Formato da Água,Drama,2017-12-01,"Sally Hawkins, Michael Shannon, Richard Jenkins","Uma zeladora muda se apaixonar por uma criatura anfíbia mantida em cativeiro."
Roma,Drama,2018-11-21,"Yalitza Aparicio, Marina de Tavira, Diego Cortina Autrey","A vida de uma empregada doméstica em uma família de classe média na Cidade do México."
O Menino que Descobriu o Vento,Biografia,2019-03-01,"Maxwell Simba, Chiwetel Ejiofor, Aïssa Maïga","Um menino de 13 anos constrói uma turbina eólica para salvar sua vila da fome."
1917,Guerra,2019-12-25,"George MacKay, Dean-Charles Chapman, Mark Strong","Dois soldados britânicos recebem uma missão impossível durante a Primeira Guerra Mundial."
Duna,Ficção Científica,2021-10-22,"Timothée Chalamet, Rebecca Ferguson, Oscar Isaac","Um jovem nobre lidera uma rebelião em um planeta deserto rico em uma substância valiosa."
Tudo em Todo Lugar ao Mesmo Tempo,Ficção Científica,2022-03-25,"Michelle Yeoh, Stephanie Hsu, Ke Huy Quan","Uma lavanderia chinesa-americana descobre que precisa salvar o multiverso."
Top Gun: Maverick,Ação,2022-05-27,"Tom Cruise, Miles Teller, Jennifer Connelly","Pete Maverick retorna para treinar uma nova geração de pilotos de caça."
Elvis,Biografia,2022-06-24,"Austin Butler, Tom Hanks, Olivia DeJonge","A vida e carreira do Rei do Rock and Roll, Elvis Presley."
Oppenheimer,Biografia,2023-07-21,"Cillian Murphy, Emily Blunt, Matt Damon","A história de J. Robert Oppenheimer e o desenvolvimento da bomba atômica."
Barbie,Comédia,2023-07-21,"Margot Robbie, Ryan Gosling, America Ferrera","Barbie vive em Barbieland até descobrir que não é perfeita e embarca em uma aventura no mundo real."
Spider-Man: Através do Aranhaverso,Animação,2023-06-02,"Shameik Moore, Hailee Steinfeld, Oscar Isaac","Miles Morales viaja através do multiverso para encontrar outros Homens-Aranha."
Killers of the Flower Moon,Crime,2023-10-20,"Leonardo DiCaprio, Robert De Niro, Lily Gladstone","A história real de assassinatos em série contra membros da tribo Osage na década de 1920."
Past Lives,Drama,2023-06-02,"Greta Lee, Teo Yoo, John Magaro","Duas amigas de infância se reencontram depois de 24 anos separadas."
Anatomy of a Fall,Crime,2023-08-23,"Sandra Hüller, Swann Arlaud, Milo Machado-Graner","Uma escritora é acusada de assassinar seu marido, e apenas seu filho cego pode testemunhar."
